,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
897,196.8952917,Private room,FALSE,TRUE,2,FALSE,0,1,10,95,1,0.6413885216,0.3441095297,765.0736393,26.07494358,1461.897255,32.18085784,2.1637,41.39042
898,596.0388205,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,1,1.025414896,0.6188319798,445.1939099,15.17292648,1280.417836,28.18593729,2.158,41.389
899,297.6703051,Private room,FALSE,TRUE,2,FALSE,0,1,10,95,1,0.436765691,0.2819496761,582.2920787,19.8454532,1432.126044,31.52550186,2.171,41.391
900,635.3713315,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,96,2,2.31449536,0.3855033448,546.2949024,18.61861137,637.447208,14.03217491,2.17315,41.40785
901,468.7318174,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,96,1,1.013813269,0.1367224099,408.6506876,13.92747453,1027.053447,22.60860732,2.16033,41.38164
902,185.2584542,Private room,FALSE,TRUE,2,FALSE,0,1,10,94,1,4.051810983,0.8586582911,181.9511111,6.201187327,327.0672448,7.199756667,2.14006,41.35845
903,171.2942491,Private room,FALSE,TRUE,2,FALSE,0,1,10,93,1,4.154866907,0.5467479537,177.8507436,6.061440188,322.2700981,7.094156706,2.13657,41.35946
904,195.4988712,Private room,FALSE,TRUE,2,FALSE,0,1,9,91,1,4.300983417,0.63603892,170.904609,5.824704719,308.7824888,6.797252913,2.13664,41.35766
905,479.2049713,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,92,2,2.39973735,0.2894028218,413.5489522,14.09441529,595.3217442,13.1048638,2.14937,41.37212
906,499.9185421,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,85,3,2.31709548,0.2081103236,405.4607216,13.81875534,624.4699444,13.7465054,2.14975,41.3729
907,420.0898364,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,91,2,3.848347306,0.4826974018,246.974557,8.417291236,382.9770853,8.430504329,2.126,41.377
